,0,1,2
0,Legume crops with chromosome number,Origin and distribution,Reference
1,Marama bean [Tylosema esculentum (Burch.) A. Schreib.;,"Indigenous to arid areas of southern Africa (Nambia,Bot-",Dakora 2013
2,2n=44],"swana,South Africa,and Zimbawe",
3,Bambara groundnut (Vigna subterranea (L.) Verdc.;,"Originated in Africa,cultivated in India,Sri Lanka,Indo",Dakora 2013
4,2n=2x=22],"nesia,Philippines,Malaysia,New Caledonia,and South",
5,,Africa,
6,Rice bean [Vigna umbellata(ThunbOhwi and Ohashi;,"Native to Indo-China and cultivated in India, China, Bang-","Andersen, 2012"
7,2n=2x=22],"ladesh,and Nepal",
8,Andean lupin/Tarwi(Lupinus mutabilis Sweet;2n=48,"Originated in the Andes, grown only in certain parts of",Lucas et al. 2015
9,,South America,
10,Tepary bean (Phaseolus acutifolius A. Gray; 2n=2x =22),Native to South-western United States and North-western,Bhardwaj et al. 2002
11,,Mexico,
12,Horse gram [Macrotyloma uniflorum (Lamb.) Verde;,"Native to India,widely cultivated in India,MalaysiaWest",Zeven and
13,"2n=2x=20.22,24","Indies,Africa,Myanmar and Australia",de Wet----
14,,,"bnnj,m 1982;"
15,,,Prasad and Singh.
16,,,2015
17,Adzuki bean (Vigna angularis Ohwi and Ohashi;,"Originated in China and extending into JapanKorea,Thai-",Yadav et al.2018
18,2n=2x=22,"land,and Vietnam",
19,"Iyacinth bean [Lablab purpureus(L.Sweet;2n=2x=24]Native to Africa,cultivated in Asia and Africa",,Cullis and Kunert
20,,,2017;Naeem et al.
21,,,2020
22,"Cowpea (Vigna anguiculata (L.)Walp.,2n=2x=22)","Maximum diversity found in Africa,widely cultivated by",Boukar et al.2016
23,,"Nigeria,Niger,Brazil and Burkina Faso",
