,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Code,Compound,Cultivar,,,,Type of Bags,,,,Cultivar,Treatment,Cultivar
1,,,,White Bag,Pink Bag,Yellow Bag,Blue Bag,Transparent Bag,Mesh Bag,Paper Bag,p Value,p Value,p Value
2,M1,-Myrcene,RDZH,289.51  0.28 b,76.89 3.10 e,84.73  0.84 e,81.21  3.51 e,356.47  11.65 a,219.73 1.30 c,169.38  1.93 d,<0.001,<0.001,<0.001
3,M1,-Myrcene,RDHY,234.83  8.28 a,225.14  2.41 g,160.64  22.52 ab,163.84  3.95 a,1538.13  51.74 a,998.11  1.79 c,162.01  4.84 ab,,,
4,,,RDHM,1232.81  3.35 b,225.14  2.41 g,558.30  22.70 e,457.62  18.14 f,1538.13  51.74 a,998.11  1.79 c,828.12  51.22 d,,,
5,M2,Limonene,RDHY,14.47  0.07 c,6.93  0.17 d,14.28  2.38 c,12.28  0.45 c,33.21  0.82 b,50.621.35 a,11.84 0.06 c,<0.001,<0.001,<0.001
6,,,RDHM,61.36  0.79 a,1.81  0.03 c,52.30  2.05 ab,1.930.06 bc,138.64  5.32 a,42.97  8.24 ab,61.91  1.11 a,,<0.001,<0.001
7,M3,Phellandrene,RDZH,3.45  0.05 c,1.81  0.03 c,3.24  0.32 c,3.22 0.00 c,5.14  0.14 a,3.29  0.24 b,2.93  0.03 bc,<0.001,<0.001,<0.001
8,M3,Phellandrene,RDHY,3.45  0.05 c,2.08  0.27 d,3.24  0.32 c,3.22 0.00 c,5.63  0.15 b,10.44  0.15 a,3.16 0.01 c,,,
9,,,RDHM,9.92 0.07 b,3.57  0.03 f,6.99 0.28 d,5.49  0.11 e,15.38  0.56 a,8.99 0.11 c,8.54  0.30 c,,,
10,M4,B-trans-,RDZH,70.660.14b,29.84  1.09 d,31.25  1.39 d,27.56  1.54 d,124.59  4.50 a,103.83  2.19 b,53.45  0.26 c,<0.001,<0.001,<0.001
11,M4,Ocimene,RDHM,70.660.14b,34.95  0.72 c,60.21 10.42 bc,58.69  0.95 bc,171.69 5.13 b,266.60  4.90 a,59.39 0.90 bc,,,
12,M5,-Terpinen,RDZH,4.91  0.02 a,2.09 0.02 b,3.33  0.35 c,2.00 0.02 b,4.65 0.10 a,4.78  0.25 a,2.94  0.03 c,<0.001,<0.001,<0.001
13,M5,-Terpinen,RDHM,9.21  0.04 b,3.85  0.00 d,7.87  0.32 b,5.50 0.50 c,6.49  0.09 b,8.44  0.19 b,8.94  0.24 b,,,
14,M6,-cis-,RDZH,304.88  1.67 a,73.782.79 c,76.99 2.09 c,66.65 2.89 c,316.65  12.28 a,269.59  7.22 a,132.39 0.95 b,<0.001,<0.001,<0.001
15,M6,Ocimene,RDHY,178.49  0.86 b,86.59  1.22 c,156.88  26.79 b,147.94  3.83 b,444.09  11.32 b,691.05  8.78 a,147.80  2.01 b,<0.001,,<0.001
16,,Ocimene,RDHM,31.97  0.56 a,195.07  0.18 d,517.19  32.10 b,367.11  40.19 c,1380.25  41.72 a,638.25  1.87 b,635.52  19.41 b,,,
17,M7,Terpinolen,RDHY,15.56  0.09 c,5.18  0.20 d,14.71  2.55 c,12.28  0.88 c,35.92  0.71 b,58.75  1.99 a,11.08  0.17 c,<0.001,<0.001,<0.001
18,,cis-Rose,RDHM,61.68  0.85 b,25.54  0.00 d,69.51  4.02 b,34.09 3.96 c,189.01  9.36 a,63.64  0.49 b,73.30  1.39 b,,,
19,M8,cis-Rose,RDZH,3.65 0.01 a,3.42  0.00 b,3.39 0.00 b,3.39  0.00 b,3.64  0.01 a,3.68  0.00 a,3.46  0.00 a,<0.001,<0.001,<0.001
20,M8,oxide,RDHY,3.96  0.00 c,3.61  0.01 e,3.67  0.08 e,3.84  0.01 e,4.73  0.01 b,5.32  0.06 a,3.89  0.01 d,,,
21,,,RDHM,3.47  0.03 a,3.27 0.00 c,3.31  0.00 b,3.29  0.01 c,3.40 0.01 a,3.40  0.00 a,3.33  0.00 a,,,
22,M9,oxide,RDHY,3.45 0.00 c,3.33  0.01 f,3.35  0.02 f,3.40  0.00 e,3.61  0.00 b,3.76  0.02 a,3.42  0.00 d,<0.001,<0.001,<0.001
23,,oxide,RDHM,96.53  0.27 a,23.66  1.13 c,24.34  0.98 c,21.04  1.01 c,3.26  0.00 a,83.22  2.08 a,3.26 0.00 a,<0.001,<0.001,<0.001
24,M10,Allo-,RDHY,56.56  0.48 c,23.66  1.13 c,24.34  0.98 c,45.63 1.22 c,99.30  3.72 a,211.96  3.62 a,41.36  0.37 b,<0.001,<0.001,<0.001
25,M10,ocimene,RDHM,250.94  2.28 b,71.04  0.05 e,194.90  16.88 c,130.80  14.13 d,486.07  15.13 a,217.58  1.49 c,228.47  7.20 c,,,
26,M11,"(E,Z)-Allo-",RDZH,10.90  0.29 c,5.93  0.14 e,5.25  0.04 e,4.52  0.25 e,19.84  0.91 a,14.40 0.09 c,8.71 0.17 d,<0.001,<0.001,<0.001
27,M11,ocimene,RDHM,10.90  0.29 c,5.93  0.14 e,9.65  1.58 d,8.81  0.09 d,24.99  0.57 b,36.96  0.77 a,7.70 0.15 d,,,
28,,,RDHM,41.19  0.69 b,15.850.57d,37.17  2.97 b,26.03  2.74 c,86.13  3.32 a,36.64  0.08 b,39.39  1.14 b,,,<0.001
29,M12,cis-Furan,RDHY,25.54  0.15 c,19.46  0.41 d,26.82  3.07 c,25.77  0.17 c,82.06 2.45 b,18.36 0.37 b,27.80  0.44 c,<0.001,<0.001,<0.001
30,M12,linalool,RDHY,25.54  0.15 c,19.46  0.41 d,26.82  3.07 c,25.77  0.17 c,31.91 0.86 b,93.47  0.03 a,27.80  0.44 c,,,
31,,oxide,RDHM,39.33  0.19 a,7.88 0.03 c,15.15 0.66 bc,15.93 1.52 bc,31.91 0.86 b,20.24  0.14 b,15.50  0.04 bc,,<0.001,
32,M13,trans-Furan,RDZH,11.30 0.25 bc,4.66  0.03 d,4.31  0.02 f,4.47  0.03 e,16.92  0.21 a,10.390.09 c,12.22  0.02 bc,<0.001,<0.001,<0.001
33,M13,linalool,RDHM,11.30 0.25 bc,8.26 0.08 d,11.11 0.92 bc,9.65  0.19 c,33.56 0.99 b,46.16  0.37 a,12.22  0.02 bc,<0.001,,<0.001
34,,oxide,RDHM,50.06 0.15 a,4.41  0.00 d,6.81 0.24 d,7.46  0.57 cd,15.99  0.29 b,11.10 0.06 c,7.38  0.05 cd,,,
35,M14,Nerol oxide,RDZH,50.06 0.15 a,12.970.01 c,14.33  0.28 b,15.32  0.42 b,45.23  1.65 a,91.02  2.61 a,21.90  0.12 b,<0.001,<0.001,<0.001
36,M14,Nerol oxide,RDHY,31.09  0.21 b,12.970.01 c,32.39  4.50 b,28.36  0.86 b,67.52  3.15 b,91.02  2.61 a,21.90  0.12 b,,,
37,,,RDHM,41.78  0.39 b,18.90  0.01 be,32.37  1.99 c,23.35  1.61 d,67.55  3.25 a,34.74  0.31 c,32.22  0.55 c,,,
38,M15,Citronellal,RDZH,nd,nd,nd,nd,nd,nd,nd,,,
39,M15,Citronellal,RDHY,nd,nd,nd,nd,nd,nd,nd,,,
40,,,RDHM,tr,216.97 1.07 g,tr,tr,tr,86.25  0.72,tr,,,
41,M16,Linalool,RDZH,1762.30  1.90 b,216.97 1.07 g,474.2  1.10 e,377.73  9.25 f,2393.30  34.43 a,1682.54 30.35 c,1205.12  1.11 d,<0.001,<0.001,<0.001
42,M16,Linalool,RDHY,1298.49  1.77 c,1074.63  3.15 c,1415.71  206.33 c,1455.78  7.22 c,4130.05  117.28 b,6503.62  23.10 a,1587.67  35.39 c,,,
43,,,RDHM,6119.10 11.03 b,916.68  3.07 c,2880.75  477.51 bc,3001.95  417.51 bc,6235.79  95.99 a,4446.00  15.01 bc,3308.75  94.21 bc,,,
