,0,1,2,3,4,5,6,7,8
0,,,,Tertiles of total VHEl score,Tertiles of total VHEl score,,,,
1,Food groups* (g/AFE/d),T1 (n 2742),,T2 (n 2742),,,,P-valuet,rs
2,Grains,434.0,209.1,388.7,134.0,383.2,101-3,<0-001,-0.10
3,Rice,392.8,201-2,346-6,131.4,330.0,104.1,<0.001,-0.14*
4,Noodles,28.0,70.1,34.1,63.3,44.3,67.7,<0.001,0.15
5,Bread,3.6,21.5,3.1,15.6,4.8,17.0,0.053,0.05
6,Protein foods,159.2,167.5,186.8,128.4,218.8,100-6,<0.001,0.32
7,White meat,13.2,58.3,14.2,66.8,14.6,45.9,0.882,0.05
8,Red meat,54-3,91.7,66.1,82.1,84.9,75.8,<0-001,0.22
9,Fish and seafood,64.4,99.5,71.0,86.3,68.5,73.0,0.084,0.09
10,Eggs,9.1,24.3,13.1,26.5,15.8,25.4,<0.001,0.15
11,Soyabean and legumes,17.3,76.5,21.1,54.4,33.4,68.8,0.001,0.16
12,Dairy and dairy products,4.3,22.6,8.3,30-7,19.1,44.8,<0-001,0.22
13,Vegetables,153.9,131-1,191.2,115.7,237.5,110.9,<0.001,0.32
14,Fruits,17.3,64.7,33.0,79.3,119.1,139.3,<0.001,0.38
15,Sugar and sweets,7.7,24.7,6-1,32.0,5.7,14.4,0.133,0.02
16,Fats and oils,11.6,38.5,11.1,21.8,14.6,17.5,0.031,0.30
17,Salt and sauces,22.6,21.7,16.9,19.0,15.1,12.7,<0.001,0.10
