Type of Establishment,"Country
(Number of Articles)",Total Number of Articles,References
Fast food,United States of America(12),19,"[5,15-33]"
Fast food,Australia(1),19,"[5,15-33]"
Fast food,United Kingdom (2),19,"[5,15-33]"
Fast food,South Korea (1),19,"[5,15-33]"
Fast food,Greece(1),19,"[5,15-33]"
Fast food,Switzerland (1),19,"[5,15-33]"
Fast food,Spain (1),19,"[5,15-33]"
Restaurant,Australia (1),16,"[4,79,15,19,20,27,3442]"
Restaurant,South Korea (1),16,"[4,79,15,19,20,27,3442]"
Restaurant,United States of America (6),16,"[4,79,15,19,20,27,3442]"
Restaurant,United Kingdom (3),16,"[4,79,15,19,20,27,3442]"
Restaurant,Greece (1),16,"[4,79,15,19,20,27,3442]"
Cafeterias and bars,United States of America (2),12,"[15,16,22,26,27,33,35,36,39,42-44]"
Cafeterias and bars,Australia(1),12,"[15,16,22,26,27,33,35,36,39,42-44]"
Cafeterias and bars,Greece (1),12,"[15,16,22,26,27,33,35,36,39,42-44]"
Cafeterias and bars,United Kingdom (2),12,"[15,16,22,26,27,33,35,36,39,42-44]"
Cafeterias and bars,South Korea (1),12,"[15,16,22,26,27,33,35,36,39,42-44]"
Cafeterias and bars,United States of America (1),12,"[15,16,22,26,27,33,35,36,39,42-44]"
Cafeterias and bars,China (3),12,"[15,16,22,26,27,33,35,36,39,42-44]"
Ready to eat and take away,United Kingdom (3),6,"[23,26,31,35,38,45]"
Ready to eat and take away,South Korea (1),6,"[23,26,31,35,38,45]"
Ready to eat and take away,Switzerland (1),6,"[23,26,31,35,38,45]"
Full service,United Kingdom (2),5,"[24,25,28,29,46]"
Full service,South Korea (1),5,"[24,25,28,29,46]"
Full service,United States of America (2),5,"[24,25,28,29,46]"
Buffet and buffet by weight,Brazil (2),3,"[26,43,47]"
Buffet and buffet by weight,United States of America (1),3,"[26,43,47]"
Sit-down restaurant,United States of America (1),2,"[19,47]"
Sit-down restaurant,Brazil (1),2,"[19,47]"
Chain restaurant,United States of America (1),2,"[17,30]"
Chain restaurant,United Kingdom (1),2,"[17,30]"
A la carte,Brazil (1),1,[43]
Eating at the table,Switzerland (1),1,[31]
