,"Normal Weight (n = 26,521)","Normal Weight (n = 26,521)",Overweight/Obese (n = 9216),Overweight/Obese (n = 9216)
,Mean (95% CI),% Total Energy,Mean(95% CI),% Total Energy
Energy (kcal),2372,,2059,-
Energy (kcal),(2351-2393),,(20342084) *,-
Total carbohydrate (g),(313-319),53,(267274) *,52
Glycemic carbohydrate (g),297,50,254,49
Glycemic carbohydrate (g),(295-300),50,(251258)*,49
from food (g),(272-277),46,(232238) *,45
Glycemic carbohydrate,23,4,20,4
from added sugar (g),(2224),4,(1920) *,4
Fiber (g),19,3,16,3
Fiber (g),(19–19,3,(1617) *,3
Protein (g),93,16,84,16
Protein (g),(92-94),16,(8385) *,16
Lipids (g),83,31,72,31
Lipids (g),(82-83),31,(7173) *,31
