"Year od 
Study",Origin,"Extraction
Method",Major chemical constituent (%),Investigators
1995,"Xalapa,Mexico","HydrodistillationLimonene (32.5), trans-pinocarveol (26.7)","HydrodistillationLimonene (32.5), trans-pinocarveol (26.7)","Sagrero-
Nieves and
Bartley
(1995)"
1998,"Tumba-Ngoma, Rwanda",Steam distillation,"x-Terpinene72.7,p-cymene15.3),ascaridole7.2",Muhayimana et al.(1998)
1999,"Ibadan, Nigeria",Hydrodistillation,"x-Terpinene (56.0,-terpinyl acetate (15.7),p-cymene (15.5)",Onocha et al.1999
1999,Hubei China,Hydrodistillation,"Menthol (31.3), -terpinene (13.2), carvomenthenol
(8.5), p-cymene (8.3), 1, 8-cineole (7.4)",Xiufang et al.1999
2000,"Palampur, India",Hydrodistillation,"X-Terpinene (65.4), p-cymene (29.4)",Kaul (2010)
2002,"Kodaikanal,India",Hydrodistillation,"x-Terpinene 63.6, p-cymene 19.5, ascaridole (6.2)",Gupta et al.(2002)
2003,"C. Hahana, Cuba",Hydrodistillation,"x-Terpinyl acetate (73.9), p-cymene (4.3)",Pino et al.(2003)
2004,"Route des Sanguinaires,
France",Commercial,"Ascaridole (41.8), isoascaridole (18.1), p-cymene (16.2),
x-terpinene (9.7), limonene (3.8)",Cavalli et al.(2004)
2004,"Dschang, Cameroun",Hydrodistillation,"Ascaridole (42.3), x-terpinyl acetate (12.3, p-cymene
(4.3), pinocarveol (7.3)","Pamo et al.
(2004)"
2004,AnzalyIran,Hydrodistillation,"x-Terpinyl acetate (73.9), p-cymene (4.3)",Navaei and Mirza (2004)
2005,"Tehran, Iran",Hydrodistillation,"Cis-ascaridol (43.4),-terpinene (15.9), camphor
(12.4), trans-ascaridol (6.4), p-cymene (5.6),
Pinocarvone (4.6)",Omidbaigi et al.2005
2006,"Havana,Cuba",Hydrodistillation,"Ascaridole (22.5), carvacrol (62.4), caryophyllene oxide (5.6)",Monzote et al.(2006)
2006,Ibadan Nigeria,Hydrodistillation,"x-Terpinene (55.6),p-cymene (16.7,1,4-epoxy-p-
menth-2-ene (17.7)",Kasali et al.(2011)
2007,"Fujian, China",Steam distillation,"x-Terpinene11.7,bornylene42.6,benzene,1-methyl-
4-(1-methylethyl) (21.8), ascaridole (18.4)",Xin et al. (2007)
2008,"Vicosa, Brazil",Hydrodistillation,"p-Cymene2.0,Z-ascaridole61.4,carvacrol3.9
(E)-ascaridole (18.6)",Jardim et al.(2008)
2009,"Lome, Togo",Steam distillation,"Ascaridole (51.1), p-cymene (19.8), neral (8.7), geraniol (7.5)",Koba et al. (2009)
2009,"Ijoko, Nigeria",Hydrodistillation,"x-Terpinene 63.1,p-cymene 26.4, ascaridole (3.9)",Owolabi et al.(2009)
2009,"Meknes, Morocco",Hydrodistillation,"Hydrodistillation-Terpinene (61.0), carene (13.5), p-cymene (12.9)",Boutkhil et al.(2009)
2010,"Dschang, Cameroon",Hydrodistillation,"Hydrodistillation-Terpinene (51.3), p-cymene (23.4), p-mentha-1,8-
Diene (15.3)",Chekem et al.(2010)
2010,"Xindian of Fuzhou,
Pingtan County,
Liancheng County, China",Steam distillation,"Xindian: p-Cymene (49.6), -terpinene (26.8),
isoascaridole (8.2),Pingtan County: p-Cymene(47.2),
x-terpinene (27.2), isoascaridole (8.8), Liancheng
County: p-Cymene (36.3), 2, 5-dimethyl-3-hexyne-2.
5-diol (20), x-terpinene (12.7), isoascaridole (3)",Hui et al.(2010)
2011,"La Cumcubin,Cuba",Hydrodistillation,"Ascaridole (47.1), -terpinene (20.7), p-cymene (21.1)",Monzote et al.(2011)
2011,"Fujian, China",Hydrodistillation,"(Z)-Ascaridole (29.7), p-cymene (12.7), isoascaridole
(13.0), piperitone (5.0), isothymol (4.9)",Chu et al.2011
