,,Manzanilla,Manzanilla,Fishimi,Fishimi,Kalamata,Kalamata,Roghani,Roghani
"Rotational 
Speed
(rpm)","Content
Of water
Added
(%)","Peroxide
Index
(meqO kg )","acidity
(%)","Peroxide
Index
(meqO kg )","acidity
(%)","Peroxide
Index
(meqO kg )","acidity
(%)","Peroxide
Index
(meqO kg )","acidity
(%)"
2500,10,8.4,1.63,7.7,1.56,8.3,1.43,7.4,1.5
2500,10,8.6,1.68,8,1.64,8.7,1.41,7.9,1.52
2500,10,8.8,1.6,8.3,1.71,8.8,1.44,8.2,1.51
2500,20,8.9,1.79,8.4,1.8,8.9,1.77,8.1,1.75
2500,20,9.1,1.88,8.8,1.85,9.1,1.78,8.6,1.8
2500,20,9.5,1.94,8.8,2.03,9.4,1.98,9,1.82
2500,30,9.6,2.2,9.2,2.2,9.5,2,8.8,1.96
2500,30,10.1,2.49,9.4,2.27,9.8,2.12,9.2,2.14
2500,30,10.7,2.83,9.8,2.69,10.5,2.08,9.6,2.16
3000,10,7.9,1.22,7.8,1.21,7.7,1.32,7.4,1.12
3000,10,8.1,1.18,7.7,1.22,7.8,1.32,7.6,1.13
3000,10,8,1.2,7.9,1.19,8.2,1.35,7.8,1.1
3000,20,8.3,1.61,8.2,1.62,8.4,1.38,8.2,1.56
3000,20,8.5,1.65,8.4,1.6,8.4,1.4,8.3,1.62
3000,20,8.2,1.64,8.5,1.65,8.7,1.38,8.3,1.53
3000,30,8.8,1.89,8.8,1.85,9,1.52,8.8,1.81
3000,30,9,2.01,8.9,1.82,8.9,1.5,8.6,1.85
3000,30,9.1,1.92,8.9,1.83,9,1.51,8.5,1.79
3500,10,6.7,0.67,7,0.55,6.8,0.43,6.2,0.53
3500,10,6.9,0.69,7.1,0.53,6.9,0.45,6.4,0.53
3500,10,7,0.67,7.1,0.55,7.1,0.45,6.8,0.55
3500,20,7.3,0.72,7.4,0.62,7.2,0.52,7,0.62
3500,20,7.4,0.7,7.3,0.66,7.3,0.5,7.2,0.65
3500,20,7.5,0.75,7.5,0.65,7.7,0.52,7.3,0.6
3500,30,7.6,0.79,7.6,0.72,8.3,0.68,7.4,0.77
,,7.9,0.77,7.7,0.71,8.2,0.62,7.5,0.75
,,8.1,0.75,8,0.75,7.9,0.64,7.9,0.79
