,0,1,2,3,4
0,,Tertiles of scores,Tertiles of scores,,Pfortrend
1,,T1,T2,T3,
2,DIS,,,,
3,Median,-0.95,-0.05,0.77,
4,score,,,,
5,NAFLD/,41/150,75/150,109/150,
6,control,,,,
7,Crude,1.00(Ref),1.85,2.68,<0.001
8,model,,(1.192.89),(1.75-4.09),
9,Model 1a,1.00(Ref,1.91,2.83,<0.001
10,,,(1.222.98),(1.844.37),
11,Model 2b,1.00(Ref),2.01,2.54,0.003
12,,,(1.073.76),(1.394.63),
13,EDIP,,,,
14,Median,0.25,0.50,0.83,
15,score,,,,
16,NAFLD/,61/150,70/150,94/150,
17,control,,,,
18,Crude,1.00(Ref,1.15,1.54,0.027
19,model,,(0.761.73),(1.042.29),
20,Model1a,1.00(Ref),1.17,1.54,0.029
21,,,(0.78-1.78),(1.042.28),
22,Model2b,1.00(Ref),0.88,1.82,0.031
23,,,(0.50-1.57),(1.02-3.23),
