,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Variable,Control,,,1% MSG,,,2% MSG,,,Pooled,P value,,
1,,d3,d 15,d 29,d3,d 15,d 29,d3,d 15,d 29,SEM,Treatment,Day,TxDa
2,Ala,629,631,653,775,693,692,780,701,712,30,<0.001,0.002,0.031
3,Arg,207,141,131,224,189,191,249,197,201,13,<0.001,<0.001,0.826
4,Asn,86,98,111,117,121,129,131,132,136,5.3,0.001,<0.001,0.18
5,Asp,15,21,22,20,23,24,21,25,28,1.3,<0.001,<0.001,0.668
6,3-Ala,27,27,30,32,31,28,31,28,30,1.1,0.504,0.323,0.035
7,Cit,128,73,77,146,91,99,163,118,121,6.3,<0.001,<0.001,0.217
8,Cysb,173,168,164,166,170,162,172,171,162,8.1,0.449,0.165,0.98
9,Gln,688,514,520,724,612,619,755,637,659,27,<0.001,<0.001,0.223
10,Glu,87,85,90,110,117,119,124,128,130,5.8,0.001,0.331,0.922
11,Gly,1103,1024,1008,1066,1050,1058,1060,1073,1094,37,<0.001,0.725,0.979
12,His,95,92,99,94,93,103,94,92,105,4.2,0.826,<0.001,0.898
13,lle,120,122,126,140,144,154,155,162,165,9.7,<0.001,0.187,0.789
14,Leu,192,185,183,225,218,224,231,235,240,20,<0.001,0.566,0.652
15,Lys,199,212,226,193,205,218,190,212,224,13,0.307,0.001,0.978
16,Met,79,80,78,83,85,82,86,89,91,3.6,<0.001,0.368,0.549
17,Orn,140,93.,91,156,96,94,153,98,95,8.9,0.669,0.598,0.788
18,Phe,98,104,106,96,107,103,96,102,103,3.4,0.157,0.614,0.293
19,Pro,512,532,533,551,559,566,567,596,602,16,0.001,0.079,0.799
20,Ser,235,246,242,247,251,259,245,254,251,9.9,0.798,0.398,0.689
21,Taurine,98,113,109,125,121,139,137,163,160,6.2,<0.001,0.001,0.028
22,Thr,243,266,270,253,275,283,278,287,296,16.6,<0.001,0.001,0.898
23,Trp,43,46,48,46,51,59,47,53,60,3.4,0.038,<0.001,<0.001
24,Tyr,120,122,129,125,132,133,124,125,135,9.8,0.568,0.559,0.798
25,Val,220,223,226,239,236,241,247,255,259,11,0.001,0.801,0.679
26,TBARS,5.15,4.15,3.54,5.09,3.89,2.95,5.13,3.84,2.94,0.61,0.544,<0.001,0.911
