,0,1,2,3,4,5,6,7,8,9,10,11
0,,Continuous,Continuous,,Quartile of total cholesterol intake(mg/d),Quartile of total cholesterol intake(mg/d),Quartile of total cholesterol intake(mg/d),Quartile of total cholesterol intake(mg/d),,,,Pfor tren
1,,variable(each,variable(each,,,,,,,,,
2,,additional 100,additional 100,Q1,,Q2,,Q3,,Q4,,
3,,mg/d),,,,,,,,,,
4,,OR,95%CI,OR,95%CI,OR,95%CI,OR,95%CI,OR,95%CI,
5,"Median,mg/d",332.0,,103.0,,268.0,,394.0,,571.5,,
6,Model1a,1.08,1.03-1.14,1.00,,1.39,1.04-1.87,1.48,1.11-1.99,1.55,1.15-2.07,0.004
7,Model 2b,1.07,1.02-1.13,1.00,,1.39,1.03-1.88,1.40,1.04-1.89,1.48,1.10-2.00,0.015
8,Model2plus nutrientsc,,,,,,,,,,,
9,"Saturated fat,unsaturated fat",1.07,1.01-1.13,1.00,,1.37,1.01-1.86,1.37,1.00-1.87,1.42,1.02-1.98,0.049
10,Animal protein,1.10,1.03-1.18,1.00,,1.43,1.05-1.96,1.45,1.04-2.00,1.61,1.11-2.34,0.019
11,Fibre,1.07,1.02-1.13,1.00,,1.40,1.03-1.89,1.40,1.04-1.90,1.49,1.10-2.01,0.014
12,All previous nutrients,1.10,1.02-1.17,1.00,,1.42,1.04-1.94,1.42,1.02-1.97,1.59,1.09-2.32,0.024
13,Eggs,1.01,0.92-1.11,1.00,,1.26,0.91-1.73,1.13,0.77-1.64,1.05,0.66-1.66,0.941
14,Red meats,1.08,1.02-1.14,1.00,,1.39,1.02-1.88,1.41,1.04-1.91,1.51,1.11-2.07,0.013
15,Poultry,1.08,1.02-1.14,1.00,,1.38,1.02-1.87,1.41,1.04-1.91,1.52,1.12-2.06,0.010
16,Fish/shellfish,1.07,1.02-1.13,1.00,,1.39,1.03-1.89,1.40,1.04-1.90,1.48,1.09-2.02,0.018
17,Total dairy products,1.07,1.01-1.12,1.00,,1.38,1.02-1.86,1.37,1.01-1.86,1.44,1.06-1.96,0.031
18,Animal organs,1.07,1.02-1.13,1.00,,1.37,1.01-1.85,1.38,1.02-1.87,1.46,1.08-1.98,0.019
19,Model 2 plus plasma lipid profiles (mmol/L) e,Model 2 plus plasma lipid profiles (mmol/L) e,,,,,,,,,,
20,TG,1.08,1.02-1.14,1.00,,1.41,1.03-1.92,1.37,1.00-1.87,1.54,1.10-2.14,0.021
21,TC,1.08,1.02-1.14,1.00,,1.40,1.03-1.91,1.38,1.01-1.88,1.49,1.07-2.08,0.029
22,LDL-C,1.08,1.02-1.15,1.00,,1.41,1.04-1.92,1.39,1.02-1.91,1.53,1.10-2.13,0.019
23,HDL-C,1.08,1.02-1.14,1.00,,1.40,1.03-1.91,1.38,1.01-1.89,1.50,1.08-2.09,0.027
24,All previous measurements,1.08,1.01-1.14,1.00,,1.40,1.03-1.91,1.36,1.00-1.86,1.51,1.08-2.11,0.028
