"Chemical Inherent 
Safety Index","Chemical Inherent 
Safety Index","Chemical Inherent 
Safety Index","Chemical Inherent 
Safety Index","Chemical Inherent 
Safety Index","Chemical Inherent 
Safety Index","Chemical Inherent 
Safety Index","Chemical Inherent 
Safety Index"
Symbols,"IRM,max","IRS,max","INT,max","IFL,max","lEX,max","IToX,max","IcoR,max"
Score,(0-4),(0-4),(0-4),(0-4),(0-4),(0-6),(0-2)
"Process Inherent 
Safety Index","Process Inherent 
Safety Index","Process Inherent 
Safety Index","Process Inherent 
Safety Index","Process Inherent 
Safety Index","Process Inherent 
Safety Index","Process Inherent 
Safety Index","Process Inherent 
Safety Index"
Symbols,li,"IT,max","IP,max","lEQ,max",,"lEQ,max","IsT,max"
Score,(0-5),(0-4),(0-4),(0-4) OSBL,,(0-3) ISBL,(0-5)
