Food Types,LNCS,"Added
Sugar",Energy (kcal),Energy (kcal),Energy (kcal),Protein (g),Protein (g),Protein (g),Carbohydrates (g),Carbohydrates (g),Carbohydrates (g),Sugar(g),Sugar(g),Sugar(g),,,,
Fruit drinks-matched,With,-,33,25 (22, 27),<0.001*,33,0.3 (0.2: 0.5),0.445,33,5 (4.3, 5.4),<0.001*,33,5 (4.3, 5.4),<0.001*,
Jams,W/0,-,118,210 (180, 231),<0.001*,118,0.5 (0.4: 0.6),0.846,118,48.5 (42.8, 57.4),<0.001*,86,48.5 (42.8, 57.4),<0.001*,
Jams,With,-,26,47 (47,74.8),<0.001*,26,0.5 (0.4, 0.5),0.846,26,5.4 (5.2, 5.6),<0.001*,26,5.4 (5.2, 5.6),<0.001*
Jams-matched,W/0,-,40,199 (185, 226),<0.001*,40,0.5 (0.3, 0.5),0.927,40,45 (42.7, 50.5),<0.001*,40,45 (42.7, 50.5),<0.001*
Jams-matched,With,-,40,47 (40, 51),<0.001*,40,"
0.5 (0.4; 0.5)",0.927,40,5.4 (3.9, 5.6),<0.001*,40,5.4 (3.9, 5.6),<0.001*,
Soft drinks,W/0,-,21,36(32, 41),<0.001*,21,0 (0, 0),0.78,21,8.6 (7.8, 9.8),<0.001*,21,8.6 (7.8, 9.8),<0.001*
Soft drinks,With,-,75,2 (1, 19),<0.001*,75,0 (0, 0),0.78,75,0.2 (0, 4.1),<0.001*,75,0.2 (0, 4.1),<0.001*
Soft drinks,W/0,W/0,39,1 (0.4, 1),<0.001*,39,0 (0, 0),0.567,39,0 (0, 0),<0.001*,39,0 (0, 0),<0.001*
Soft drinks,With,With,36,19 (15, 20.5),<0.001*,36,0 (0, 0),0.567,36,4.3 (3.4, 4.6),<0.001*,36,4.3 (3.4, 4.6),<0.001*
Yogurts,W/0,-,143,77(68.5, 94.5),<0.001*,143,3.4 (3, 3.7),<0.001*,143,11 (7.2, 12.5),<0.001*,143,11 (7.2, 12.5),<0.001*
Yogurts,With,-,68,47.5 (40, 56),<0.001*,67,4.2 (3.2, 4.8),<0.001*,68,5.1 (4.4, 6.3),<0.001*,68,5.1 (4.4, 6.3),<0.001*
Yogurts,W/0,W/0,48,77 (68.5, 94.5),<0.001*,48,ND,ND,48,4.8 (4.2, 5.7),<0.001*,48,4.8 (4.2, 5.7),<0.001*,
Yogurts,With,With,20,47.5 (40, 56),<0.001*,19,"
ND",ND,20,6.5 (5.4, 7.5),<0.001*,20,6.5 (5.4, 7.5),<0.001*,
Yogurts-matched,W/0,-,45,78 (68, 87),<0.001*,44,3.3 (2.9, 3.7),<0.001*,45,11.4 (11, 12.4),<0.001*,45,11.4 (11, 12.4),<0.001*
Yogurts-matched,With,-,45,39 (37, 46),<0.001*,44,4 (3, 4.3),<0.001*,45,5 (4, 5.6),<0.001*,45,5 (4, 5.6),<0.001*
Food Types,LNCS,"Added
Sugar",Total Tat (g),Total Tat (g),Total Tat (g),Saturated Fat (g),Saturated Fat (g),Saturated Fat (g),Fibre(g),Fibre(g),Fibre(g),,Sodium (mg),,,,,
,,,n,Median (IR),p-Value,n,Median (IR),p-Value,n,Median (IR),p-Value,n,Median (IR),p-Value,,,,
Biscuits,W/0,-,121,18 (15.7, 21),"0.374
",121,4.2 (1.8, 9),0.1,120,.7 (2.7, 5.6),<0.001*,,,,
Biscuits,With,-,22,17 (14.3, 20.8),"0.374
",22,2.2 (1.5, 6),"0.1
",22,5.8 (4.5, 9.2),<0.001*,"121
22","280 (200; 380)
250 (214; 300)","0.159
",
Biscuits-matched,W/0,-,40,19.5 (15, 23.3),"0.866
",39,5 (1.8, 12.9),0.392,37,3 (2.4, 4),<0.001*,,,,
Biscuits-matched,With,-,40,17 (14.8, 24),"0.866
",39,3.6 (1.5, 10.5),"0.392
",37,5.3 (4, 9),<0.001*,"39
","272 (180; 350)
228 (116; 300)","0.187
",
Chocolates-matched,W/0,-,32,36 (33.8, 40.5),"0.788
",32,20.5 (18, 22.3),0.34,0,ND,<0.001*,,,,,
Chocolates-matched,With,-,32,36.5 (34, 40.5),"0.788
",32,21 (20, 23.3),"0.34
",0,ND,ND,"32
","50 (24; 77)
44 (24; 68)","0.448
",,
Fruit drinks,W/0,-,65,0 (0, 0),"0.189
",66,0 (0, 0),0.446,14,ND,ND,,,,,
Fruit drinks,With,-,70,0 (0, 0),"0.189
",70,0 (0, 0),"0.446
",12,ND,ND,"66
70","4 (0; 4)
4 (0; 12)","0.705
",,
Fruit drinks,W/0,W/0,49,0 (0, 0),"0.346
",49,0 (0, 0),1,8,ND,ND,,,,,
Fruit drinks,With,With,21,0 (0, 0),"0.346
",21,0 (0, 0),"1
",4,ND,ND,"49
21","4 (0; 8)
8 (0; 12)","0.27
",,
Fruit drinks-matched,W/0,-,33,0 (0, 0.1),1,33,0 (0, 0),1,6,ND,ND,,,,,
Fruit drinks-matched,With,-,33,0 (0, 0.1),1,33,0 (0, 0),"1
",6,ND,ND,"33
","4 (0; 4)
4 (0; 4)","0.812
",,
Jams,W/0,-,118,0 (0, 0.1),0.578,86,0 (0, 0),0.717,81,1.2 (0.8, 1.2),ND,,,,
Jams,With,-,26,0 (0, 0.2),"0.578
",26,0 (0, 0),"0.717
",23,5.9 (1.3, 5.9),<0.001*,"86
26","0 (0; 0)
0 (0; 0)","1
",
Jams-matched,W/0,-,40,0 (0, 0.1),0.81,40,0 (0, 0),0.711,11,ND,<0.001*,,,,,
Jams-matched,With,-,40,0 (0, 0.2),"0.81
",40,0 (0, 0),"0.711
",11,ND,ND,"40
","0 (0; 0)
0 (0; 13)","0.234
",,
Soft drinks,W/0,-,19,ND,ND,21,0 (0, 0),1,0,ND,ND,,,,,,
Soft drinks,With,-,73,ND,ND,75,0 (0, 0),"1
",7,ND,ND,"21
75","0 (0; 0)
20 (4; 50)",<0.001*,,,
Soft drinks,W/0,W/0,39,0 (0, 0),0.666,39,0 (0, 0),1,6,ND,ND,,,,,
Soft drinks,With,With,34,0 (0, 0),"0.666
",36,0 (0, 0),"1
",1,ND,ND,"39
36","12 (4; 20)
36 (11; 52)",<0.013*,,
Yogurts,W/0,-,143,2.3 (1.8, 3.7),<0.001*,143,1.5 (1.2, 2.4),<0.001*,10,ND,ND,,,,,
Yogurts,With,-,68,0.3 (0.1, 0.5),<0.001*,68,0.1 (0.07, 0.2),<0.001*,12,ND,ND,"143
68","44 (40; 48)
52 (40; 60)",<0.001*,,
Yogurts,W/0,W/0,48,0.1 (0.1, 0.5),0.567,48,0.1 (0.07, 0.2),0.737,9,ND,ND,,,,,
Yogurts,With,With,20,0.4 (0.1, 0.7),"0.567
",20,0.1 (0.08, 0.2),"0.737
",3,ND,ND,"48
20","56 (46; 60)
46 (40; 60)","0.156
",,
Yogurts-matched,W/0,-,45,1.9 (1.1, 2.2),<0.001*,45,1.2 (0.8, 1.4),<0.001*,5,ND,ND,,,,,
Yogurts-matched,With,-,45,0.4 (0.1, 0.5),<0.001*,45,0.1 (0.06, 0.1),<0.001*,5,ND,ND,"45
","44 (40; 52)
60 (48; 60)",<0.001*,,
