Food Types,LNCS,"Added
Sugar",Energy (kcal),Energy (kcal),Energy (kcal),Protein (g),Protein (g),Protein (g),Carbohydrates (g),Carbohydrates (g),Carbohydrates (g),Sugar(g),Sugar(g),Sugar(g),,,,
,,,n,Median (IR),p-Value,n,Median (IR),p-Value,n,Median (IR),p-Value,n,Median (IR),p-Value,,,,
Biscuits,W/0,-,121,463(451;483),,<0.001*,121,6.3 (5.7, 7.8),0.825,120,22 (19, 28),0.267,120,22 (19, 28),<0.001*
Biscuits,With,-,22,426 (412; 439),,<0.001*,22,6.8 (5.9, 7.2),0.825,22,0.6 (0, 1.6),0.267,22,0.6 (0, 1.6),<0.001*
Biscuits-matched,W/0,-,40,474 (451, 497),<0.001*,40,6(5.2, 6.6),0.122,40,25 (20, 30),0.066,39,25 (20, 30),<0.001*
Biscuits-matched,With,-,40,432 (415, 454),<0.001*,40,6.8 (5.6, 7.3),0.122,40,1.2 (0.6, 2.8),0.066,39,1.2 (0.6, 2.8),<0.001*
Chocolates-matched,W/0,-,32,548 (541, 567),<0.001*,32,7.7 (5.4, 11),0.394,32,43.5 (27.5, 54),0.819,30,43.5 (27.5, 54),<0.001*
Chocolates-matched,With,-,32,490 (476, 513),<0.001*,32,8.2(6.2, 11),0.394,32,1.2 (0.5, 7.1),0.819,30,1.2 (0.5, 7.1),<0.001*
Fruit drinks,W/0,-,66,47 (45, 50),<0.001*,66,0.2 (0, 0.3),0.059,66,11.1 (9.8, 11.8),<0.001*,66,11.1 (9.8, 11.8),<0.001*
Fruit drinks,With,-,70,23 (19, 26),<0.001*,70,0.1 (0, 0.3),0.059,70,4.8 (4.2, 5.7),<0.001*,70,4.8 (4.2, 5.7),<0.001*
Fruit drinks,W/0,W/0,49,23 (18, 26),"0.2
",49,0.2 (0, 0.3),0.02*,49,4.8 (3.8, 5.2),0.185,49,4.8 (3.8, 5.2),0.015 *
Fruit drinks,With,With,21,23 (20, 31),"0.2
",21,"
0 (0; 0.1)",0.02*,21,5.3 (4.8, 7),0.185,21,5.3 (4.8, 7),s,
Fruit drinks-matched,W/0,-,33,47 (44, 52),<0.001*,33,0.2 (0.2, 0.5),0.445,33,10.9 (9.8, 11.5),<0.001*,33,10.9 (9.8, 11.5),<0.001*
