"Nutrient and
Relative AI or PRI","Nutrient and
Relative AI or PRI","Nutrient and
Relative AI or PRI",Light Broiler,Medium Broiler,Heavy Broiler
"Nutrient and
 Relative AI or PRI","Nutrient and
Relative AI or PRI","Nutrient and
Relative AI or PRI",Coverage (%),Coverage (%),Coverage (%)
EPA + DHA,AI: 250 mg/die,Control,0.89,3.64,5.52
EPA + DHA,AI: 250 mg/die,Functional,3.59,13.08,28.84
Mg,PRI:240 mg/die,Control,2.71,2.61,2.9
Mg,PRI:240 mg/die,Functional,9.8,10.61,20.03
,AI:39 g/die,Control,0.2,0.2,0.22
K,AI:39 g/die,Functional,1.12,1.21,1.51
Fe,PRI:10 mg/die,Control,5.22,4.81,8.52
Fe,PRI:10 mg/die,Functional,22,24.92,35.61
