,0,1,2
0,Food source,Fibrinolytic enzyme,Reference
1,Natto,Nattokinase,Sumi et al. (1987)
2,Tofuyo,Soybean milk coagulating enzyme (SMCE),Fujita et al. (1993)
3,Shiokara,Katsuwokinase,Sumi et al. (1995)
4,Chungkook-jang,Alkaline serine protease,Kim and Kim (1999)
5,Kimchi,Bacillus protease,Noh et al.(1999)
6,Fermented shrimp paste,Neutral metalloprotease,Wong and Mine (2004)
7,Indonesian fermented tofu,Stenotrophomonas,Stephani et al. (2017)
8,Rice koji,Serine protease,Shirasaka et al. (2012)
9,Fermented red bean,Serine protease,Chang et al.(2012)
