,0,1,2,3,4,5,6,7,8,9,10,11
0,Rotational,Content,,,,Fishimi,,,,,Roghani,
1,speed,added,index,acidity,index,,acidity,index,acidity,index,,acidity
2,(rpm),(%),index,(%),index,,(%),index,(%),index,(meqOkg1),(%)
3,,,8.4,1.63,7.7,,1.56,8.3,1.43,7.4,,1.50
4,,10,8.6,1.68,8.0,,1.64,8.7,1.41,7.9,,1.52
5,,,8.8,1.60,8.3,,1.71,8.8,1.44,8.2,,1.51
6,,,8.9,1.79,8.4,,1.80,8.9,1.77,8.1,,1.75
7,2500,20,9.1,1.88,8.8,,1.85,9.1,1.78,8.6,,1.80
8,,,9.5,1.94,8.8,,2.03,9.4,1.98,9.0,,1.82
9,,,9.6,2.20,9.2,,2.20,9.5,2.00,8.8,,1.96
10,,30,10.1,2.49,9.4,,2.27,9.8,2.12,9.2,,2.14
11,,,10.7,2.83,9.8,,2.69,10.5,2.08,9.6,,2.16
12,,,7.9,1.22,7.8,,1.21,7.7,1.32,7.4,,1.12
13,,10,8.1,1.18,7.7,,1.22,7.8,1.32,7.6,,1.13
14,,,8.0,1.20,7.9,,1.19,8.2,1.35,7.8,,1.10
15,,,8.3,1.61,8.2,,1.62,8.4,1.38,8.2,,1.56
16,3000,20,8.5,1.65,8.4,,1.60,8.4,1.40,8.3,,1.62
17,,,8.2,1.64,8.5,,1.65,8.7,1.38,8.3,,1.53
18,,,8.8,1.89,8.8,,1.85,9.0,1.52,8.8,,1.81
19,,30,9.0,2.01,8.9,,1.82,8.9,1.50,8.6,,1.85
20,,,9.1,1.92,8.9,,1.83,9.0,1.51,8.5,,1.79
21,,,6.7,0.67,7.0,,0.55,6.8,0.43,6.2,,0.53
22,,10,6.9,0.69,7.1,,0.53,6.9,0.45,6.4,,0.53
23,,,7.0,0.67,7.1,,0.55,7.1,0.45,6.8,,0.55
24,,,7.3,0.72,7.4,,0.62,7.2,0.52,7.0,,0.62
25,3500,20,7.4,0.70,7.3,,0.66,7.3,0.50,7.2,,0.65
26,,,7.5,0.75,7.5,,0.65,7.7,0.52,7.3,,0.60
27,,,7.6,0.79,7.6,,0.72,8.3,0.68,7.4,,0.77
28,,30,7.9,0.77,7.7,,0.71,8.2,0.62,7.5,,0.75
29,,,8.1,0.75,8.0,,0.75,7.9,0.64,7.9,,0.79
