,0,1,2,3,4,5,6,7,8,9
0,,N,Sodium (mg)per 100 g,Sodium (mg)per 100 g,,,Sodium (mg) per kcal,Sodium (mg) per kcal,,
1,,,Median,P25,P75,Pvalue,Median,P25,P75,Pvalue
2,Region,,,,,,,,,
3,North,3829,415.7,250.7,682.8,<0.0001,3.2,1.7,6.1,<0.0001
4,South,4302,566.3,337.9,858.4,,3.6,2.0,6.5,
5,Restaurant size,,,,,,,,,
6,Large,2285,466.1,278.1,763.3,0.0286,3.4,1.8,6.7,0.0006
7,Medium,4162,497.5,297.7,798.0,,3.5,1.9,6.5,
8,Small,1684,491.3,302.1,767.1,,3.1,1.8,5.7,
9,Dish type,,,,,,,,,
10,Cold dish,950,528.4,292.1,898.4,<0.0001,4.8,2.1,10.3,<0.0001
11,Fried dish,6819,480.9,291.1,762.3,,3.3,1.9,6.0,
12,Soup,246,687.0,409.6,1143.3,,4.3,2.3,9.3,
13,Staples/snacks,116,278.4,40.1,541.6,,1.1,0.2,2.3,
14,Total,8131,487.3,291.1,781.9,,3.4,1.9,6.4,
